Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,4,UPS (VI-VIII),1,Department of Education,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,6,SS (I-X),5,Private Unaided (Recognized),1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,1,PS (I-V),1,Department of Education,134,130,21,7,24,95,61,69,0,14,57,7,0,1,0,134,134,134,134,134,134,38,40,40,40,88,88,1,10,1,86,2,61,133,56,5,0,4
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,1,PS (I-V),5,Private Unaided (Recognized),24,19,7,4,11,6,12,14,0,0,15,3,0,1,0,24,24,24,24,24,24,2,2,2,2,14,14,0,0,0,19,0,12,23,4,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,2,UPS (I-VIII),5,Private Unaided (Recognized),3,3,3,0,3,2,3,3,0,0,3,2,0,2,0,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,3,0,3,2,3,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,3,HSS (I-XII),5,Private Unaided (Recognized),1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,4,UPS (VI-VIII),1,Department of Education,9,6,0,0,1,8,5,7,0,1,6,2,0,1,0,9,9,9,9,9,9,4,4,4,4,5,5,0,0,0,7,0,5,8,4,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,5,HSS (VI-XII),1,Department of Education,8,7,0,0,6,7,7,8,0,6,5,5,3,4,0,7,7,8,8,8,8,6,7,7,7,8,8,2,4,2,7,1,7,8,7,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,6,SS (I-X),5,Private Unaided (Recognized),3,3,1,0,3,3,3,3,0,0,3,2,1,1,0,3,3,3,3,3,3,0,0,0,0,3,3,0,0,1,3,0,3,2,2,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,7,SS (VI-X),1,Department of Education,4,4,1,0,2,4,4,4,0,2,3,2,0,2,0,3,3,4,4,4,4,2,3,3,3,3,3,0,1,0,4,0,3,4,4,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,7,SS (VI-X),5,Private Unaided (Recognized),5,4,0,0,2,4,3,3,0,0,4,2,0,2,0,5,5,5,5,5,5,1,1,1,1,0,0,0,0,0,4,0,0,4,2,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,11,HSS (XI-XII),1,Department of Education,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Urban,1,PS (I-V),1,Department of Education,10,10,3,0,2,7,4,4,0,1,3,2,0,0,0,10,10,10,10,10,10,2,2,2,2,6,6,0,0,0,9,0,5,10,7,0,0,7
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Urban,1,PS (I-V),5,Private Unaided (Recognized),4,1,1,0,3,1,0,0,0,0,1,0,0,0,0,4,4,4,4,4,4,0,0,0,0,3,3,0,0,0,4,0,3,4,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Urban,2,UPS (I-VIII),5,Private Unaided (Recognized),1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Urban,7,SS (VI-X),5,Private Unaided (Recognized),1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,1,PS (I-V),1,Department of Education,80,76,5,4,5,70,35,47,1,11,53,13,0,1,3,80,80,80,80,80,80,5,5,5,5,64,64,2,1,2,72,6,58,80,48,3,0,1
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,1,PS (I-V),5,Private Unaided (Recognized),2,2,1,0,1,1,1,1,0,0,1,0,1,0,0,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,2,0,1,2,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,2,UPS (I-VIII),5,Private Unaided (Recognized),2,2,2,0,0,1,1,1,0,0,1,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,2,0,1,2,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,4,UPS (VI-VIII),1,Department of Education,7,5,0,1,0,5,2,3,0,1,6,3,1,1,0,7,7,7,7,7,7,0,0,0,0,3,3,0,0,0,7,0,3,6,3,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,4,UPS (VI-VIII),5,Private Unaided (Recognized),2,2,0,0,1,1,0,0,0,0,2,1,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,2,0,1,2,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,5,HSS (VI-XII),1,Department of Education,5,4,0,0,3,4,5,5,0,0,3,1,1,2,0,5,5,5,5,5,5,0,0,0,0,2,2,0,0,0,3,0,2,5,3,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,6,SS (I-X),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,7,SS (VI-X),1,Department of Education,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,1,PS (I-V),1,Department of Education,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,1,PS (I-V),5,Private Unaided (Recognized),1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
