ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,0,0,4,4,9,7,8,6,4,5,4,5,0,0,3,8,7,9,7,8,7,5,6,1,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,0,0,31,45,42,36,46,32,37,41,35,51,0,0,29,48,42,34,49,41,37,47,28,43,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,55,51,53,62,64,68,68,69,62,70,45,73,0,0,43,44,61,52,54,59,55,57,68,62,0,0
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,30,25,31,38,38,37,49,32,39,80,94,93,0,0,28,31,31,30,40,33,30,60,31,35,0,0
2019-20,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,Urban,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,0,0,16,22,20,23,25,20,18,16,22,23,0,0,20,18,22,24,21,22,17,24,21,24,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,7,cat7,SS (VI-X),1,Department of Education,1,General,0,0,0,0,0,0,21,11,15,13,12,4,0,0,0,0,0,0,5,10,12,11,8,14,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,7,cat7,SS (VI-X),1,Department of Education,1,General,0,0,0,0,0,0,41,37,30,18,16,37,0,0,0,0,0,0,36,36,31,38,23,25,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,7,cat7,SS (VI-X),1,Department of Education,1,General,0,0,0,0,0,0,3,3,3,4,5,8,0,0,0,0,0,0,2,1,2,4,5,2,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,7,cat7,SS (VI-X),1,Department of Education,1,General,0,0,0,0,0,0,4,1,2,4,5,3,0,0,0,0,0,0,7,2,3,7,4,4,0,0
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,7,cat7,SS (VI-X),1,Department of Education,1,General,0,0,0,0,0,0,22,33,28,35,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,7,cat7,SS (VI-X),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,7,cat7,SS (VI-X),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,5,8,8,4,4,3,0,0,0,0,0,0,6,8,6,5,5,3,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,7,cat7,SS (VI-X),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,45,42,44,45,27,18,0,0,0,0,0,0,43,46,39,20,25,20,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,3,5,4,7,8,6,7,8,9,0,0,0,0,0,6,5,6,9,7,10,8,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,0,0,20,21,18,25,15,16,15,12,0,0,0,0,17,22,21,20,11,18,14,13,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,31,24,22,21,19,15,19,20,15,18,0,0,0,0,23,21,17,15,14,20,13,17,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,0,0,2,2,1,2,3,2,2,2,0,0,0,0,5,4,8,7,0,7,2,8,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,5,5,19,12,16,13,13,12,11,1,0,0,0,0,13,12,15,13,8,12,8,3,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,0,0,14,14,17,18,20,8,12,14,0,0,0,0,26,15,20,14,10,9,11,15,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Urban,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,0,0,2,5,3,3,3,2,4,4,0,0,0,0,3,4,5,2,4,3,5,5,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,0,0,6,3,3,2,2,4,2,6,0,0,0,0,5,4,3,3,5,3,1,6,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),1,General,0,0,11,14,12,10,9,11,9,8,0,0,0,0,11,12,9,10,9,9,9,11,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,1,General,0,0,0,0,0,0,11,10,12,12,0,0,0,0,0,0,0,0,10,11,11,11,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,1,General,0,0,0,0,0,0,18,21,34,23,0,0,0,0,0,0,0,0,23,27,23,18,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,1,General,0,0,0,0,0,0,8,9,10,6,0,0,0,0,0,0,0,0,9,7,9,4,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,1,General,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,11,14,12,10,0,0,0,0,0,0,0,0,7,9,12,9,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,5,6,6,5,0,0,0,0,0,0,0,0,4,5,7,9,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,3,2,4,8,0,0,0,0,0,0,0,0,3,2,3,7,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,7,8,7,8,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,Urban,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,9,8,8,11,0,0,0,0,0,0,0,0,12,11,12,8,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,3,cat3,HSS (I-XII),4,Government Aided,2,SC,0,0,0,0,10,14,11,27,26,25,20,17,17,13,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),2,SC,0,0,0,0,9,6,5,3,3,3,4,2,2,1,0,0,1,0,6,4,1,2,5,1,5,1
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),2,SC,20,7,6,4,6,3,5,8,4,10,4,4,8,9,2,3,3,3,3,3,4,4,7,4,6,6
