Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,144,140,0,2,47,90,22,144,144,144,0,0,0,0,36,21,0,0,92,103,0,19,54,3,80,0,50,0,26,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,20,20,0,7,10,17,9,20,20,20,0,0,0,0,10,9,0,0,0,7,0,3,3,1,14,0,0,0,11,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,4,4,0,3,4,4,4,4,4,4,0,0,0,0,4,4,0,2,0,4,1,3,1,3,4,0,0,0,4,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,7,SS (VI-X),1,Department of Education,Rural,2,Girls,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,2,2,0,1,2,2,2,2,2,2,0,0,0,0,1,1,0,0,1,2,0,0,1,0,1,0,1,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,7,SS (VI-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,4,4,0,2,1,4,3,4,4,4,0,0,0,0,2,3,0,1,0,4,1,2,2,1,4,0,1,0,4,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,1,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,1,0,1,2,1,2,0,0,0,2,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,8,8,0,7,2,2,7,8,8,8,0,0,0,0,1,2,0,0,8,7,0,5,6,2,8,0,1,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,4,UPS (VI-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,4,4,0,4,1,3,4,4,4,4,0,0,0,0,1,3,0,0,4,4,1,4,4,3,2,0,2,0,3,0,0
